Rank,Name,Industry, Revenue (USD millions) ,Revenue growth,Employees,Headquarters,
26,Centene,Healthcare," $1,25,982.00 ",13.40%,"72,500","St. Louis, Missouri",
27,Meta Platforms,Technology," $1,17,385.00 ",37.20%,"71,970","Menlo Park, California",
28,Comcast,Telecommunications," $1,16,385.00 ",12.40%,"1,89,000","Philadelphia, Pennsylvania",
29,Phillips 66,Petroleum industry," $1,14,852.00 ",75.40%,"14,000","Houston, Texas",
30,Valero Energy,Petroleum industry," $1,08,332.00 ",80.20%,"9,804","San Antonio, Texas",
31,Dell Technologies,Technology," $1,06,995.00 ",13.60%,"1,33,000","Round Rock, Texas",
32,Target Corporation,Retail," $1,06,005.00 ",13.30%,"4,50,000","Minneapolis, Minnesota",
33,Fannie Mae,Financials," $1,01,543.00 ",4.60%,"7,400","Washington, D.C.",
34,United Parcel Service,Transportation," $97,287.00 ",15.00%,"4,00,945","Atlanta, Georgia",
35,Lowe's,Retail," $96,250.00 ",7.40%,"2,70,000","Mooresville, North Carolina",
36,Bank of America,Financials," $93,851.00 ",0.10%,"2,08,248","Charlotte, North Carolina",
37,Johnson & Johnson,Pharmaceutical industry," $93,775.00 ",13.60%,"1,41,700","New Brunswick, New Jersey",
38,Archer Daniels Midland,Food industry," $85,959.00 ",32.50%,"39,979","Chicago, Illinois",
39,FedEx,Transportation," $83,959.00 ",21.30%,"4,84,000","Memphis, Tennessee",
40,Humana,Health Insurance," $83,064.00 ",7.70%,"95,500","Louisville, Kentucky",
41,Wells Fargo,Financials," $82,407.00 ",2.60%,"2,47,848","San Francisco, California",
42,State Farm,Financials," $82,407.00 ",4.20%,"53,586","Bloomington, Illinois",
43,Pfizer,Pharmaceutical industry," $81,288.00 ",94.00%,"79,000","New York City, New York",
44,Citigroup,Financials," $79,865.00 ",10.10%,"2,21,768","New York City, New York",
45,PepsiCo,Beverage," $79,474.00 ",12.90%,"3,09,000","Purchase, New York",
46,Intel,Technology," $79,024.00 ",1.50%,"1,21,100","Santa Clara, California",
47,Procter & Gamble,Consumer products Manufacturing," $76,118.00 ",7.30%,"1,01,000","Cincinnati, Ohio",
48,General Electric,Conglomerate," $74,196.00 ",6.80%,"1,68,000","Boston, Massachusetts",
49,IBM,Technology," $72,344.00 ",1.70%,"2,97,800","Armonk, New York",
50,MetLife,Financials," $71,080.00 ",4.80%,"43,000","New York City, New York",
51,Prudential Financial,Financials," $70,934.00 ",24.40%,"40,916","Newark, New Jersey",
52,Albertsons,Retail," $69,690.00 ",11.60%,"3,00,000","Boise, Idaho",
53,The Walt Disney Company,Media," $67,418.00 ",3.10%,"1,71,000","Burbank, California",
54,Energy Transfer Partners,Petroleum industry," $67,418.00 ",73.10%,"12,558","Dallas, Texas",
55,Lockheed Martin,Aerospace and Defense," $67,044.00 ",2.50%,"1,14,000","Bethesda, Maryland",
56,Freddie Mac,Financials," $65,898.00 ",0.50%,"7,301","McLean, Virginia",
57,Goldman Sachs,Financials," $64,989.00 ",2.70%,"43,900","New York City, New York",
58,Raytheon Technologies,Conglomerate," $64,388.00 ",13.80%,"1,74,000","Waltham, Massachusetts",
59,HP,Technology," $63,487.00 ",12.10%,"51,000","Palo Alto, California",
60,Boeing,Aerospace and defense," $62,286.00 ",7.10%,"1,42,000","Chicago, Illinois",
61,Morgan Stanley,Financials," $61,121.00 ",17.40%,"74,814","New York City, New York",
62,HCA Healthcare,Healthcare," $58,752.00 ",14.00%,"2,44,000","Nashville, Tennessee",
63,AbbVie,Pharmaceutical industry," $56,197.00 ",22.70%,"50,000","Lake Bluff, Illinois",
64,Dow Chemical Company,Chemical industry," $54,968.00 ",42.60%,"35,700","Midland, Michigan",
65,Tesla,Automotive and Energy," $53,823.00 ",70.70%,"99,290","Austin, Texas",
66,Allstate,Insurance," $53,228.00 ",18.80%,"54,500","Northfield Township, Cook County, Illinois",
67,AIG,Insurance," $52,057.00 ",19.00%,"36,600","New York City, New York",
68,Best Buy,Retail," $51,761.00 ",9.50%,"81,375","Richfield, Minnesota",
69,Charter Communications,Telecommunications," $51,682.00 ",7.50%,"93,700","Stamford, Connecticut",
70,Sysco,Food Service," $51,298.00 ",3.00%,"57,710","Houston, Texas",
71,Merck & Co.,Pharmaceutical industry," $51,216.00 ",6.70%,"67,500","Kenilworth, New Jersey",
72,New York Life Insurance Company,Insurance," $51,199.00 ",9.60%,"13,344","New York City, New York",
73,Novartis,Pharmaceuticals," $51,332.00 ",6.00%,"1,10,000","Cambridge, Massachusetts",
74,Caterpillar,Machinery," $50,971.00 ",22.10%,"1,07,700","Deerfield, Illinois",
75,Cisco,Telecom Hardware Manufacturing," $49,818.00 ",1.00%,"79,500","San Jose, California",
76,TJX,Retail," $48,550.00 ",51.10%,"3,40,000","Framingham, Massachusetts",
77,Publix,Retail," $48,394.00 ",7.10%,"2,32,000","Lakeland, Florida",
78,ConocoPhillips,Petroleum industry," $48,349.00 ",151.10%,"9,900","Houston, Texas",
79,Liberty Mutual Group,Insurance," $48,200.00 ",10.10%,"45,000","Boston, Massachusetts",
80,Progressive Corporation,Insurance," $47,702.00 ",11.80%,"49,077","Mayfield Village, Ohio",
81,Nationwide Mutual Insurance Company,Financial," $47,376.00 ",13.00%,"24,134","Columbus, Ohio",
82,Tyson Foods,Food Processing," $47,049.00 ",8.90%,"1,37,000","Springdale, Arkansas",
83,Bristol-Myers Squibb,Pharmaceutical industry," $46,385.00 ",9.10%,"32,200","New York City, New York",
84,GSK plc,Pharmaceuticals," $44,700.00 ",3.00%,"97,000","Philadelphia, Pennsylvania",
85,Nike,Apparel," $44,538.00 ",19.10%,"73,300","Beaverton, Oregon",
86,John Deere,Agriculture manufacturing," $44,024.00 ",23.90%,"75,550","Moline, Illinois",
87,American Express,Financial," $43,663.00 ",14.30%,"64,000","New York City, New York",
88,Abbott Laboratories,Medical devices," $43,075.00 ",24.50%,"1,13,000","Chicago, Illinois",
89,StoneX Group,Financials," $42,534.00 ",21.40%,"3,242","New York City, New York",
90,Plains All American Pipeline,Petroleum industry," $42,078.00 ",80.70%,"4,100","Houston, Texas",
91,Enterprise Products,Petroleum industry," $40,807.00 ",50.00%,"6,911","Houston, Texas",
92,TIAA,Insurance," $40,526.00 ",2.60%,"15,065","New York City, New York",
93,Oracle Corporation,Software," $40,479.00 ",3.60%,"1,32,000","Austin, Texas",
94,Thermo Fisher Scientific,Laboratory instruments," $39,211.00 ",21.70%,"1,29,000","Waltham, Massachusetts",
95,Coca-Cola Company,Beverages," $38,655.00 ",17.10%,"79,000","Atlanta, Georgia",
96,General Dynamics,Airspace and defense," $38,469.00 ",8.70%,"1,03,100","Reston, Virginia",
97,CHS,Agriculture cooperative," $38,448.00 ",1.40%,"9,941","Inver Grove Heights, Minnesota",
98,USAA,Financials," $37,470.00 ",3.20%,"37,335","San Antonio, Texas",
99,Northwestern Mutual,Insurance," $36,751.00 ",8.80%,"7,585","Milwaukee, Wisconsin",
100,Nucor,Metals," $36,484.00 ",81.20%,"28,800","Charlotte, North Carolina",
